outcomes,bet_price,title,date
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Kirsten Gillibrand,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Mike Pence,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Michelle Obama,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Nikki Haley,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Hillary Clinton,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Oprah Winfrey,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Howard Schultz,6000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
John Hickenlooper,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
John Kasich,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Julian Castro,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Michael Avenatti,6600.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Mitt Romney,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Paul Ryan,7500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Eric Garcetti,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Joe Kennedy III,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Marco Rubio,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Orrin Hatch,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Rahm Emanuel,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Tom Wolf,8000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Andrew Cuomo,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Andrew Yang,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Ben Shapiro,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Bill Gates,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
George Clooney,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Mark Cuban,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Rand Paul,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Ted Cruz,10000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Bob Iger,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Chris Murphy,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Jeb Bush,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Martin O'Malley,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Mitch Landrieu,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Tammy Duckworth,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Terry McAuliffe,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Tom Steyer,12500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Ivanka Trump,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Kanye West,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Mark Zuckerberg,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Tim Kaine,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Trey Gowdy,15000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Chelsea Clinton,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Leonardo DiCaprio,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Will Smith,20000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Joe Rogan,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Tom Brady,25000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 08:13:29.255390
Donald Trump,200.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Kamala Harris,500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Beto O'Rourke,800.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Joe Biden,800.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Bernie Sanders,1000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Amy Klobuchar,1500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Elizabeth Warren,2200.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Michael Bloomberg,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Tulsi Gabbard,2500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Sherrod Brown,2800.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Kirsten Gillibrand,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Mike Pence,3000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Cory Booker,3500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Michelle Obama,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Nikki Haley,4500.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Dwayne 'The Rock' Johnson,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Hillary Clinton,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
Oprah Winfrey,5000.0,US Presidential Election 2020 - Odds To Win,2019-02-20 12:53:32.169533
